City,Max_Temp,Humidity,Cloudiness,Wind_Speed,Latitude,Longitude,Country,Date
Tazovsky,-1.43,93,97,7.31,67.47,78.7,RU,1604991119
Doha,86.0,51,0,3.36,25.29,51.53,QA,1604990891
Sabha,60.8,50,0,5.35,27.04,14.43,LY,1604990885
Amarkantak,73.58,33,0,4.99,22.67,81.75,IN,1604991120
Chamba,73.26,20,100,7.38,32.57,76.13,IN,1604991120
Mali Zvornik,41.0,100,90,1.12,44.37,19.11,RS,1604991120
Dzerzhinsk,35.6,85,75,11.18,56.24,43.46,RU,1604991120
Berdigestyakh,1.51,93,100,6.42,62.1,126.7,RU,1604991120
Poyarkovo,18.72,92,10,2.89,49.6,128.68,RU,1604991121
Reinosa,55.0,93,7,1.99,43.0,-4.14,ES,1604991121
Lázaro Cárdenas,74.52,87,33,4.65,17.96,-102.2,MX,1604991121
Shelburne,55.99,87,1,4.7,44.08,-80.2,CA,1604991121
Labuhan,88.72,58,100,10.56,-6.88,112.21,ID,1604991122
Kawalu,82.44,69,100,6.38,-7.38,108.21,ID,1604991122
Diffa,75.7,37,5,11.7,13.32,12.61,NE,1604991122
Yangi Marg`ilon,51.8,62,0,4.7,40.43,71.72,UZ,1604991123
Price,15.8,78,1,8.05,39.6,-110.81,US,1604990931
Talara,62.62,87,60,11.56,-4.58,-81.27,PE,1604991123
Ryōtsu-minato,50.0,61,75,11.41,38.08,138.43,JP,1604991123
Husavik,44.6,77,0,2.24,66.04,-17.34,IS,1604990914
The Pas,5.0,84,1,10.29,53.83,-101.25,CA,1604990900
Marzuq,78.62,28,22,3.06,14.4,46.47,YE,1604991124
Paragominas,72.59,98,100,1.5,-2.97,-47.48,BR,1604991124
Nouakchott,66.2,25,0,41.38,18.09,-15.98,MR,1604991124
Cap-aux-Meules,50.0,87,25,13.87,47.38,-61.86,CA,1604991124
Padang,80.58,76,100,3.53,-0.95,100.35,ID,1604991125
Isangel,78.8,83,90,14.56,-19.55,169.27,VU,1604991125
Manzhouli,33.69,88,0,4.56,49.6,117.43,CN,1604991125
Souillac,78.8,69,40,12.75,-20.52,57.52,MU,1604991125
High Rock,80.4,82,78,26.19,26.62,-78.28,BS,1604991126
Danielskuil,67.06,41,0,7.78,-28.19,23.54,ZA,1604991126
Aquiraz,78.8,83,75,6.93,-3.9,-38.39,BR,1604991087
Puerto Rico,64.65,98,29,0.94,-26.8,-55.02,AR,1604991126
Lexington,62.6,67,1,9.17,37.99,-84.48,US,1604991120
Deputatsky,-21.42,89,23,2.66,69.3,139.9,RU,1604991127
Sørland,39.2,69,0,6.93,67.67,12.69,NO,1604990926
Bandarbeyla,81.07,67,0,15.61,9.49,50.81,SO,1604991127
Gunnedah,80.6,28,0,8.05,-30.98,150.25,AU,1604991127
Atherton,54.0,87,0,1.99,53.52,-2.49,GB,1604991127
Billings Metropolitan Area,19.99,74,0,3.0,45.78,-108.5,US,1604990890
Corning,55.99,86,1,5.1,42.14,-77.05,US,1604991128
Ocampo,51.75,51,74,2.35,21.65,-101.5,MX,1604991128
Pedersore,39.99,100,0,2.24,63.65,22.68,FI,1604991128
Nosy Varika,79.72,63,0,7.52,-20.58,48.53,MG,1604991128
Sharlyk,31.69,94,100,16.13,52.92,54.75,RU,1604991129
Srednekolymsk,-6.63,91,100,12.53,67.45,153.68,RU,1604991129
Vanimo,84.87,68,2,4.12,-2.67,141.3,PG,1604991129
Diego de Almagro,52.41,77,0,2.89,-26.37,-70.05,CL,1604991129
Genhe,31.55,96,100,3.53,50.78,121.52,CN,1604991129
‘Ewa Beach,78.8,69,1,4.7,21.32,-158.01,US,1604991130
Zhangye,61.02,20,10,5.73,38.93,100.45,CN,1604991130
Crib Point,89.01,26,1,5.01,-38.35,145.2,AU,1604991130
Palmer,46.99,100,1,3.09,42.16,-72.33,US,1604991130
Khawhai,78.93,39,0,0.78,23.37,93.12,IN,1604991131
Severnyy,34.54,86,0,11.18,50.68,36.55,RU,1604991131
Gazli,54.97,39,0,1.7,40.13,63.45,UZ,1604991131
Payo,91.18,50,59,4.36,-3.75,103.64,ID,1604991131
Nagycserkesz,41.0,100,90,1.12,47.97,21.53,HU,1604991131
Paamiut,26.08,89,100,20.15,61.99,-49.67,GL,1604991132
Rawson,58.87,87,0,3.62,-43.3,-65.1,AR,1604991132
Cockburn Town,81.57,81,100,21.27,21.46,-71.14,TC,1604991132
Kiruna,17.6,85,87,8.05,67.86,20.23,SE,1604991132
Lodwar,88.32,36,71,18.07,3.12,35.6,KE,1604991132
Bilibino,-3.39,89,93,1.23,68.05,166.44,RU,1604991133
Petropavlovsk-Kamchatskiy,30.2,63,100,6.71,53.05,158.65,RU,1604991133
Kouroussa,68.81,53,0,1.7,10.65,-9.88,GN,1604991133
Port Macquarie,72.0,60,0,12.75,-31.43,152.92,AU,1604991133
Yuli,77.02,26,0,5.35,9.7,10.27,NG,1604991134
Luebo,75.87,79,73,0.69,-5.35,21.42,CD,1604991134
Fare,79.83,76,100,13.29,-16.7,-151.02,PF,1604991134
Chimbote,58.6,90,84,2.82,-9.09,-78.58,PE,1604991134
Pimentel,61.14,88,91,5.99,-6.84,-79.93,PE,1604991134
Xining,53.47,29,0,2.98,36.62,101.77,CN,1604991135
São José da Coroa Grande,75.72,84,27,11.07,-8.9,-35.15,BR,1604991135
Lufilufi,80.6,88,75,5.82,-13.87,-171.6,WS,1604991135
Puerto El Triunfo,75.2,100,40,2.24,13.28,-88.55,SV,1604991135
Stavern,42.01,100,90,3.36,59.0,10.03,NO,1604991135
Guozhen,68.49,37,3,6.02,34.37,107.36,CN,1604991136
San Antonio,69.8,94,75,9.17,29.42,-98.49,US,1604991091
Nemuro,39.2,64,40,8.05,43.32,145.57,JP,1604991136
Batagay-Alyta,-17.77,86,100,2.93,67.8,130.41,RU,1604991136
Sindor,27.99,97,95,6.13,62.86,51.89,RU,1604991137
Kulhudhuffushi,83.8,72,48,8.12,6.62,73.07,MV,1604991137
Pallipattu,84.2,48,20,11.41,13.34,79.44,IN,1604991137
San Juan,65.14,68,10,24.05,-31.54,-68.54,AR,1604991086
Rumphi,84.06,33,99,10.67,-11.02,33.86,MW,1604991138
Manakara,81.45,60,0,10.74,-22.13,48.02,MG,1604991138
Port Hedland,91.4,43,0,21.92,-20.32,118.57,AU,1604991138
Pittsburg,45.0,48,1,5.82,38.03,-121.88,US,1604991138
Kumul,54.52,34,0,3.02,42.8,93.45,CN,1604991139
Coquimbo,53.6,93,100,3.36,-29.95,-71.34,CL,1604991075
Morón,66.0,98,18,6.33,-34.65,-58.62,AR,1604991139
Buerarema,65.77,94,42,1.79,-14.96,-39.3,BR,1604991139
Lokosovo,27.39,97,98,9.19,61.13,74.82,RU,1604991140
Chokwé,79.83,56,84,14.99,-24.53,32.98,MZ,1604991140
Upanema,75.72,76,0,4.45,-5.64,-37.26,BR,1604991140
Huánuco,61.92,65,95,0.98,-9.93,-76.24,PE,1604991141
Erenhot,49.24,42,0,10.27,43.65,111.98,CN,1604991141
Kozluk,55.4,100,0,2.24,38.19,41.49,TR,1604991141
Huilong,66.99,45,0,6.96,31.81,121.66,CN,1604991141
Nizhniy Tsasuchey,37.54,77,0,5.28,50.52,115.13,RU,1604991142
Birjand,60.8,31,0,4.7,32.87,59.22,IR,1604991099
Praia da Vitória,64.99,93,75,25.1,38.73,-27.07,PT,1604991142
Zhezkazgan,41.61,60,0,8.12,47.8,67.71,KZ,1604991142
Katghora,82.27,31,0,4.83,22.5,82.55,IN,1604991142
Devgarh,81.3,15,0,3.18,25.53,73.9,IN,1604991143
Liuzhou,76.71,29,0,11.32,24.31,109.39,CN,1604991143
Victoria Point,75.0,51,0,4.0,-27.58,153.3,AU,1604991143
Mīzan Teferī,72.97,73,17,0.6,6.98,35.58,ET,1604991143
Taree,69.8,60,0,12.75,-31.9,152.47,AU,1604991144
Terrace,32.0,86,90,2.24,54.52,-128.6,CA,1604991144
Ust-Maya,-10.28,89,100,3.44,60.42,134.53,RU,1604991144
Dwārka,85.26,38,0,9.01,22.24,68.97,IN,1604991144
Mildura,95.0,19,22,20.8,-34.2,142.15,AU,1604991144
Sainte-Maxime,54.0,100,90,2.24,43.3,6.63,FR,1604991145
Filingué,74.95,26,62,7.9,14.35,3.32,NE,1604991145
Salina Cruz,75.43,83,0,5.03,16.17,-95.2,MX,1604991145
Savelugu,77.18,41,1,4.38,9.62,-0.83,GH,1604991145
Ballina,75.2,53,0,10.29,-28.87,153.57,AU,1604991146
Chajul,53.29,100,77,0.96,15.49,-91.03,GT,1604991146
Sinuknipan,84.99,69,100,7.56,13.89,122.64,PH,1604991146
Bahía Solano,75.4,87,100,2.62,6.23,-77.4,CO,1604991146
Sannat,63.0,82,20,3.36,36.02,14.24,MT,1604991146
Shklo,42.8,93,90,6.71,49.96,23.54,UA,1604991147
Pahrump,33.01,51,0,1.14,36.21,-115.98,US,1604991080
Samarkand,51.8,66,0,6.93,39.65,66.96,UZ,1604991147
Bella Vista,69.01,82,75,10.29,36.43,-94.23,US,1604991147
Ozernovskiy,34.92,82,100,7.92,51.5,156.52,RU,1604991147
Vao,70.74,65,98,14.38,-22.67,167.48,NC,1604991147
Shingū,59.0,51,20,18.34,33.73,135.98,JP,1604991148
Nuuk,13.71,89,100,4.43,64.18,-51.72,GL,1604991148
Grande Prairie,35.6,64,90,11.41,55.17,-118.8,CA,1604991003
Arrondissement de Lannion,51.8,100,75,4.7,48.75,-3.42,FR,1604991148
Kayerkan,1.4,84,40,11.18,69.35,87.76,RU,1604991148
Kupino,34.97,83,99,19.15,54.37,77.3,RU,1604991149
Cimarron Hills,28.4,86,75,8.05,38.86,-104.7,US,1604991149
Nizhnyaya Tavda,31.95,96,100,9.15,57.67,66.17,RU,1604991149
Rolla,66.99,82,90,13.87,37.95,-91.77,US,1604990885
Valleyview,35.6,69,100,8.05,55.07,-117.29,CA,1604991150
Bulungu,72.81,85,100,2.98,-4.55,18.6,CD,1604991150
Katherine,102.2,20,40,13.87,-14.47,132.27,AU,1604991150
Margate,54.0,92,8,1.99,51.38,1.39,GB,1604991150
Fort-Shevchenko,51.96,76,100,9.75,44.51,50.26,KZ,1604991150
Bajil,85.86,47,2,4.47,15.06,43.29,YE,1604991151
Avera,68.0,86,90,8.05,33.19,-82.53,US,1604991151
NEDJO,70.41,57,30,2.68,9.5,35.5,ET,1604991151
Kasongo-Lunda,72.59,92,100,1.41,-6.47,16.82,CD,1604991151
Sibu,89.6,66,40,4.7,2.3,111.82,MY,1604990968
Carballo,54.0,93,75,4.7,43.21,-8.69,ES,1604991152
Pinawa,18.28,85,95,9.98,50.15,-95.88,CA,1604991152
Orodara,71.6,53,0,6.93,10.95,-4.93,BF,1604991152
Lewiston,51.01,100,1,3.09,44.1,-70.21,US,1604991152
Nadym,5.29,93,73,5.86,65.53,72.52,RU,1604991153
Solnechnyy,17.15,82,0,1.88,50.72,136.63,RU,1604991153
São Félix do Xingu,71.19,93,100,0.85,-6.64,-51.99,BR,1604991153
Samarai,80.26,81,100,13.51,-10.62,150.67,PG,1604991153
Hervey Bay,75.0,59,0,4.0,-25.3,152.85,AU,1604991153
Nevers,51.8,100,90,2.15,46.99,3.16,FR,1604990877
Savinka,38.21,71,0,15.5,50.08,47.1,RU,1604991154
Coari,74.28,93,85,1.48,-4.08,-63.14,BR,1604991154
Watertown,59.0,87,1,5.46,42.37,-71.18,US,1604991154
Ngawen,91.6,46,100,4.07,-7.0,111.31,ID,1604991154
Tezu,84.25,34,0,3.27,27.92,96.17,IN,1604991155
Madaoua,73.22,28,0,13.69,14.07,5.96,NE,1604991155
Varnavino,32.04,94,14,9.73,57.4,45.09,RU,1604991155
Valley City,19.4,85,1,11.41,46.92,-98.0,US,1604991155
Bartica,71.17,97,27,1.12,6.4,-58.62,GY,1604991156
Mitsamiouli,80.65,75,81,14.97,-11.38,43.28,KM,1604991156
Kadipaten,86.34,60,65,8.28,-8.14,113.22,ID,1604991156
Tepepa,51.28,45,0,5.3,20.13,-98.18,MX,1604991156
Alugan,77.94,89,100,11.25,12.22,125.48,PH,1604991156
Bonfim,76.62,69,0,5.32,3.08,-59.95,BR,1604991157
Chingirlau,38.25,72,0,19.69,51.09,54.08,KZ,1604991157
Fareydūnshahr,50.02,49,19,5.41,32.94,50.12,IR,1604991157
Podor,75.2,73,0,8.19,16.65,-14.96,MR,1604991158
Gillette,19.4,67,1,3.36,44.29,-105.5,US,1604991067
Kaniama,69.85,88,100,4.23,-7.57,24.18,CD,1604991158
Ejura,74.16,87,1,4.43,7.39,-1.36,GH,1604991158
Kapuskasing,60.8,87,90,13.87,49.42,-82.43,CA,1604991159
Jumla,64.38,28,2,6.78,29.27,82.18,NP,1604991159
Thasos,59.0,62,75,6.93,40.69,24.65,GR,1604991159
Nyurba,27.99,98,100,6.29,63.28,118.33,RU,1604991158
Alice Springs,105.8,6,75,17.22,-23.7,133.88,AU,1604991105
Yunyang,70.75,23,0,6.49,33.45,112.71,CN,1604991160
Williams Lake,23.0,92,75,5.82,52.14,-122.14,CA,1604991160
Aleksandrovsk-Sakhalinskiy,22.19,94,100,19.84,50.9,142.16,RU,1604991160
Sobolevo,36.72,92,39,10.49,54.43,31.9,RU,1604991160
Toppenish,39.2,79,90,3.36,46.38,-120.31,US,1604991160
Poronaysk,24.44,83,20,9.4,49.22,143.12,RU,1604991161
Altay,37.17,67,100,5.17,47.87,88.12,CN,1604991161
Kikwit,69.51,96,99,2.55,-5.04,18.82,CD,1604991161
Green River,19.4,79,90,19.46,41.53,-109.47,US,1604991161
Nouadhibou,68.0,72,0,10.29,20.93,-17.03,MR,1604991162
Robertson,66.2,72,90,9.1,36.52,-86.87,US,1604991162
George Town,89.6,59,20,4.7,5.41,100.34,MY,1604991162
Sovetskiy,27.68,90,42,4.0,61.36,63.58,RU,1604991162
Benguela,77.0,83,90,2.35,-12.58,13.41,AO,1604991162
Badou,75.29,78,1,1.7,7.58,0.6,TG,1604991162
Bowen,78.8,57,40,17.22,-20.02,148.23,AU,1604990987
Adilcevaz,50.0,71,75,1.39,38.8,42.73,TR,1604990883
Aracoiaba,74.64,87,4,3.65,-4.37,-38.81,BR,1604991163
Tual,85.1,69,92,6.26,-5.67,132.75,ID,1604991163
Butterworth,89.6,59,20,4.7,5.4,100.36,MY,1604991163
Coahuayana Viejo,72.21,77,25,3.91,18.73,-103.68,MX,1604991164
At-Bashi,44.26,54,0,2.37,41.17,75.81,KG,1604991164
Kisangani,71.04,97,100,3.29,0.52,25.2,CD,1604991164
Paragould,64.4,93,40,4.7,36.06,-90.5,US,1604991164
Pelotas,63.73,95,100,13.2,-31.77,-52.34,BR,1604991164
Lebedinyy,23.27,98,100,7.18,58.52,125.52,RU,1604991165
Nautla,72.48,87,0,6.78,20.22,-96.78,MX,1604991165
Banda Aceh,84.92,70,97,7.99,5.56,95.32,ID,1604991165
Gigmoto,82.18,83,100,8.48,13.78,124.39,PH,1604991165
Lethem,75.88,69,0,8.97,3.38,-59.8,GY,1604991166
Santa Rosa,84.99,83,75,3.36,14.31,121.11,PH,1604991166
Jiangyou,68.4,57,61,5.97,31.77,104.72,CN,1604991166
Garmsār,60.17,44,84,2.42,35.22,52.34,IR,1604991166
Georgiyevka,44.6,65,0,2.24,43.04,74.71,KZ,1604991166
Aleksandrov Gay,38.25,71,0,15.77,50.15,48.57,RU,1604991167
Leirvik,46.99,98,100,4.25,59.78,5.5,NO,1604991167
Myrtle Beach,71.6,88,1,4.7,33.69,-78.89,US,1604991167
Kamenka,30.99,90,26,14.0,51.32,42.77,RU,1604991167
Markova,42.8,93,90,4.47,48.68,24.41,UA,1604991167
Hukuntsi,74.21,38,76,11.72,-24.0,21.75,BW,1604991168
Buraidah,69.8,77,75,5.82,26.33,43.98,SA,1604991168
Kŭlob,57.2,54,90,4.47,37.91,69.78,TJ,1604991168
Amapá,71.33,98,100,1.48,1.0,-52.0,BR,1604991169
Eldorado,67.78,96,98,5.48,-23.79,-54.28,BR,1604991169
Kiryat Gat,70.0,73,0,9.46,31.61,34.76,IL,1604991169
Ürümqi,46.4,39,0,4.47,43.8,87.6,CN,1604991016
Tiszabura,37.4,100,90,3.56,47.45,20.47,HU,1604991169
Yakima,34.0,69,90,3.36,46.47,-120.67,US,1604991092
Joshīmath,63.09,27,99,7.38,30.57,79.57,IN,1604991170
Darnah,65.32,82,100,17.96,32.77,22.64,LY,1604991170
Malakal,86.02,22,0,10.58,9.53,31.66,SS,1604991170
Shimoda,59.0,47,75,8.05,34.67,138.95,JP,1604991170
Newtownards,54.0,100,75,4.7,54.59,-5.69,GB,1604991171
Akureyri,44.6,81,0,2.24,65.68,-18.09,IS,1604991171
Yulara,105.8,10,45,21.92,-25.24,130.99,AU,1604991171
Chilca,64.4,82,75,9.17,-12.52,-76.74,PE,1604991171
Henties Bay,55.0,91,0,4.18,-22.12,14.28,NA,1604991171
Russell,71.6,83,90,6.93,32.35,-85.2,US,1604991172
Magaria,72.64,29,0,12.08,13.0,8.91,NE,1604991172
Tomatlán,71.01,95,11,1.83,19.93,-105.25,MX,1604991172
Andenes,35.6,69,75,5.82,69.31,16.12,NO,1604991172
Fes,55.4,87,40,2.24,34.04,-5.0,MA,1604991172
Linqing,68.63,24,0,7.14,36.85,115.71,CN,1604991173
Hofn,45.05,74,100,17.02,64.25,-15.21,IS,1604991173
Leshukonskoye,31.73,98,100,8.41,64.9,45.76,RU,1604991173
Salmās,50.0,76,75,4.7,38.2,44.77,IR,1604991173
Três Lagoas,70.23,88,100,9.89,-20.75,-51.68,BR,1604991173
Along,83.5,30,0,1.45,28.17,94.77,IN,1604991174
Andros Town,80.6,88,75,12.75,24.7,-77.77,BS,1604991174
Moranbah,80.58,40,70,14.29,-22.0,148.05,AU,1604991174
Boa Vista,78.8,83,0,2.24,2.82,-60.67,BR,1604990916
Abong Mbang,73.54,77,100,1.83,3.98,13.18,CM,1604991174
Atikokan,24.3,87,0,10.98,48.76,-91.62,CA,1604991175
Yala,87.8,62,20,8.05,6.33,101.25,TH,1604991175
Smithers,28.4,92,90,2.19,54.78,-127.17,CA,1604991128
Lander,19.4,92,1,3.36,42.83,-108.73,US,1604991081
Velyka Mykhaylivka,48.87,55,100,8.14,47.08,29.85,UA,1604991175
